"Table 11: Numbers and crude rates1 of deaths involving COVID-19, by Intermediate Zone, between 1st March 2020 and 31st August 20202",,,,,,,,,,,,,
S02001564,Mearnskirk and South Kirkhill,East Renfrewshire,4,"6,420",62.3,,,,,,,,
S02001565,Eaglesham and Waterfoot,East Renfrewshire,3,"5,059",59.3,,,,,,,,
S02001566,North Kirkhill,East Renfrewshire,2,"3,520",56.8,,,,,,,,
S02001567,Busby,East Renfrewshire,11,"3,725",295.3,,,,,,,,
S02001568,Clarkston and Sheddens,East Renfrewshire,4,"6,237",64.1,,,,,,,,
S02001569,Williamwood,East Renfrewshire,1,"3,230",31.0,,,,,,,,
S02001570,Stamperland,East Renfrewshire,3,"3,693",81.2,,,,,,,,
S02001571,Netherlee,East Renfrewshire,4,"4,692",85.3,,,,,,,,
S02001572,Merrylee and Braidbar,East Renfrewshire,1,"4,870",20.5,,,,,,,,
S02001573,Lower Whitecraigs and South Giffnock,East Renfrewshire,11,"3,394",324.1,,,,,,,,
S02001574,North Giffnock and North Thornliebank,East Renfrewshire,6,"3,777",158.9,,,,,,,,
S02001575,South Thornliebank and Woodfarm,East Renfrewshire,2,"4,110",48.7,,,,,,,,
S02001576,Balerno and Bonnington Village,City of Edinburgh,2,"5,908",33.9,,,,,,,,
S02001577,Currie West,City of Edinburgh,2,"6,164",32.4,,,,,,,,
S02001578,Currie East,City of Edinburgh,0,"3,532",0.0,,,,,,,,
S02001579,Baberton and Juniper Green,City of Edinburgh,2,"4,332",46.2,,,,,,,,
S02001580,Bonaly and The Pentlands,City of Edinburgh,0,"4,748",0.0,,,,,,,,
S02001581,Colinton and Kingsknowe,City of Edinburgh,11,"4,666",235.7,,,,,,,,
S02001582,Clovenstone and Wester Hailes,City of Edinburgh,11,"3,695",297.7,,,,,,,,
S02001583,The Calders,City of Edinburgh,2,"4,685",42.7,,,,,,,,
S02001584,Murrayburn and Wester Hailes North,City of Edinburgh,2,"3,836",52.1,,,,,,,,
S02001585,Parkhead and Sighthill,City of Edinburgh,2,"3,167",63.2,,,,,,,,
S02001586,Broomhouse and Bankhead,City of Edinburgh,15,"3,826",392.1,,,,,,,,
S02001587,Stenhouse and Saughton Mains,City of Edinburgh,4,"5,947",67.3,,,,,,,,
S02001588,Longstone and Saughton,City of Edinburgh,3,"4,678",64.1,,,,,,,,
S02001589,Slateford and Chesser,City of Edinburgh,1,"5,209",19.2,,,,,,,,
S02001590,Gorgie West,City of Edinburgh,2,"5,671",35.3,,,,,,,,
S02001591,Gorgie East,City of Edinburgh,2,"4,000",50.0,,,,,,,,
S02001592,Shandon,City of Edinburgh,4,"5,452",73.4,,,,,,,,
S02001593,Craiglockhart,City of Edinburgh,23,"5,141",447.4,,,,,,,,
S02001594,Morningside and Craighouse,City of Edinburgh,6,"4,834",124.1,,,,,,,,
S02001595,Greenbank and The Braids,City of Edinburgh,0,"4,363",0.0,,,,,,,,
S02001596,Colinton Mains and Firrhill,City of Edinburgh,1,"4,006",25.0,,,,,,,,
S02001597,Oxgangs,City of Edinburgh,1,"2,659",37.6,,,,,,,,
S02001598,Comiston and Swanston,City of Edinburgh,0,"5,098",0.0,,,,,,,,
S02001599,Fairmilehead,City of Edinburgh,0,"5,743",0.0,,,,,,,,
S02001600,Gilmerton South and the Murrays,City of Edinburgh,0,"3,707",0.0,,,,,,,,
S02001601,Mortonhall and Anwickhill,City of Edinburgh,1,"2,484",40.3,,,,,,,,
S02001602,"Gracemount, Southhouse and Burdiehouse",City of Edinburgh,4,"5,941",67.3,,,,,,,,
S02001603,Hyvots and Gilmerton,City of Edinburgh,1,"3,868",25.9,,,,,,,,
S02001604,Fernieside and Moredun South,City of Edinburgh,2,"4,264",46.9,,,,,,,,
S02001605,Moredun and Craigour,City of Edinburgh,8,"3,322",240.8,,,,,,,,
S02001606,Liberton East,City of Edinburgh,4,"3,173",126.1,,,,,,,,
S02001607,Liberton West and Braid Hills,City of Edinburgh,26,"3,646",713.1,,,,,,,,
S02001608,The Inch,City of Edinburgh,6,"5,075",118.2,,,,,,,,
S02001609,"Blackford, West Mains and Mayfield Road",City of Edinburgh,17,"7,083",240.0,,,,,,,,
S02001610,Prestonfield,City of Edinburgh,2,"3,321",60.2,,,,,,,,
S02001611,Newington and Dalkeith Road,City of Edinburgh,1,"6,519",15.3,,,,,,,,
S02001612,The Grange,City of Edinburgh,15,"5,939",252.6,,,,,,,,
S02001613,Marchmont East and Sciennes,City of Edinburgh,4,"4,844",82.6,,,,,,,,
S02001614,Marchmont West,City of Edinburgh,1,"4,625",21.6,,,,,,,,
S02001615,Morningside,City of Edinburgh,8,"6,001",133.3,,,,,,,,
S02001616,Merchiston and Greenhill,City of Edinburgh,12,"5,205",230.5,,,,,,,,
S02001617,Bruntsfield,City of Edinburgh,1,"5,993",16.7,,,,,,,,
S02001618,Polwarth,City of Edinburgh,2,"4,798",41.7,,,,,,,,
S02001619,Dalry and Fountainbridge,City of Edinburgh,2,"8,016",25.0,,,,,,,,
S02001620,Tollcross,City of Edinburgh,1,"6,418",15.6,,,,,,,,
S02001621,Meadows and Southside,City of Edinburgh,1,"8,441",11.8,,,,,,,,
S02001622,"Old Town, Princes Street and Leith Street",City of Edinburgh,0,"6,689",0.0,,,,,,,,
S02001623,"Canongate, Southside and Dumbiedykes",City of Edinburgh,0,"9,039",0.0,,,,,,,,
S02001624,Abbeyhill,City of Edinburgh,0,"2,974",0.0,,,,,,,,
S02001625,Meadowbank and Abbeyhill North,City of Edinburgh,3,"5,010",59.9,,,,,,,,
S02001626,Willowbrae and Duddingston Village,City of Edinburgh,2,"5,165",38.7,,,,,,,,
S02001627,Craigmillar,City of Edinburgh,6,"5,391",111.3,,,,,,,,
S02001628,Niddrie,City of Edinburgh,8,"4,748",168.5,,,,,,,,
S02001629,"Bingham, Magdalene and The Christians",City of Edinburgh,8,"3,707",215.8,,,,,,,,
S02001630,"Jewel, Brunstane and Newcraighall",City of Edinburgh,1,"4,352",23.0,,,,,,,,
S02001631,Joppa,City of Edinburgh,11,"5,246",209.7,,,,,,,,
S02001632,Portobello,City of Edinburgh,2,"4,399",45.5,,,,,,,,
S02001633,Duddingston and Portobello South,City of Edinburgh,2,"4,114",48.6,,,,,,,,
S02001634,Mountcastle,City of Edinburgh,0,"2,557",0.0,,,,,,,,
S02001635,Northfield and Piershill,City of Edinburgh,2,"3,579",55.9,,,,,,,,
S02001636,Craigentinny,City of Edinburgh,0,"2,864",0.0,,,,,,,,
S02001637,Restalrig (Loganlea) and Craigentinny West,City of Edinburgh,4,"3,523",113.5,,,,,,,,
S02001638,Restalrig and Lochend,City of Edinburgh,10,"4,407",226.9,,,,,,,,
S02001639,Leith (Hermitage and Prospect Bank),City of Edinburgh,4,"4,615",86.7,,,,,,,,
S02001640,Western Harbour and Leith Docks,City of Edinburgh,2,"4,525",44.2,,,,,,,,
S02001641,North Leith and Newhaven,City of Edinburgh,2,"5,456",36.7,,,,,,,,
S02001642,The Shore and Constitution Street,City of Edinburgh,1,"5,508",18.2,,,,,,,,
S02001643,Great Junction Street,City of Edinburgh,1,"5,585",17.9,,,,,,,,
S02001644,South Leith,City of Edinburgh,2,"5,562",36.0,,,,,,,,
S02001645,Easter Road and Hawkhill Avenue,City of Edinburgh,1,"3,847",26.0,,,,,,,,
S02001646,Leith (Albert Street),City of Edinburgh,17,"3,592",473.3,,,,,,,,
S02001647,Hillside and Calton Hill,City of Edinburgh,1,"5,943",16.8,,,,,,,,
S02001648,Pilrig,City of Edinburgh,1,"3,576",28.0,,,,,,,,
S02001649,Bonnington,City of Edinburgh,12,"3,874",309.8,,,,,,,,
S02001650,Trinity East and The Dudleys,City of Edinburgh,4,"3,852",103.8,,,,,,,,
S02001651,Trinity,City of Edinburgh,6,"4,739",126.6,,,,,,,,
S02001652,"Inverleith, Goldenacre and Warriston",City of Edinburgh,7,"3,899",179.5,,,,,,,,
S02001653,Broughton North and Powderhall,City of Edinburgh,0,"4,359",0.0,,,,,,,,
S02001654,Broughton South,City of Edinburgh,3,"4,871",61.6,,,,,,,,
S02001655,New Town East and Gayfield,City of Edinburgh,0,"2,852",0.0,,,,,,,,
S02001656,New Town West,City of Edinburgh,0,"3,391",0.0,,,,,,,,
S02001657,Canonmills and New Town North,City of Edinburgh,0,"3,254",0.0,,,,,,,,
S02001658,Stockbridge,City of Edinburgh,0,"5,805",0.0,,,,,,,,
S02001659,Comely Bank,City of Edinburgh,2,"4,171",48.0,,,,,,,,
S02001660,Deans Village,City of Edinburgh,0,"6,887",0.0,,,,,,,,
S02001661,Balgreen and Roseburn,City of Edinburgh,6,"4,439",135.2,,,,,,,,
S02001662,Murrayfield and Ravelston,City of Edinburgh,1,"4,502",22.2,,,,,,,,
S02001663,"Craigleith, Orchard Brae and Crewe Toll",City of Edinburgh,3,"4,720",63.6,,,,,,,,
S02001664,Blackhall,City of Edinburgh,3,"6,028",49.8,,,,,,,,
S02001665,Drylaw,City of Edinburgh,2,"4,764",42.0,,,,,,,,
S02001666,West Pilton,City of Edinburgh,5,"5,260",95.1,,,,,,,,
S02001667,Boswall and Pilton,City of Edinburgh,4,"5,722",69.9,,,,,,,,
S02001668,Granton South and Wardieburn,City of Edinburgh,1,"3,029",33.0,,,,,,,,
S02001669,Granton and Royston Mains,City of Edinburgh,13,"4,045",321.4,,,,,,,,
S02001670,Granton West and Salvesen,City of Edinburgh,1,"4,269",23.4,,,,,,,,
S02001671,Muirhouse,City of Edinburgh,1,"6,007",16.6,,,,,,,,
S02001672,Silverknowes and Davidson's Mains,City of Edinburgh,1,"4,563",21.9,,,,,,,,
S02001673,Cramond,City of Edinburgh,1,"2,814",35.5,,,,,,,,
S02001674,"Barnton, Cammo and Cramond South",City of Edinburgh,9,"4,069",221.2,,,,,,,,
S02001675,Clermiston and Drumbrae,City of Edinburgh,6,"6,244",96.1,,,,,,,,
S02001676,East Craigs North,City of Edinburgh,2,"4,337",46.1,,,,,,,,
S02001677,East Craigs South,City of Edinburgh,3,"5,294",56.7,,,,,,,,
S02001678,Corstorphine North,City of Edinburgh,2,"3,848",52.0,,,,,,,,
S02001679,Corstorphine,City of Edinburgh,12,"5,692",210.8,,,,,,,,
S02001680,Carrick Knowe,City of Edinburgh,1,"2,733",36.6,,,,,,,,
S02001681,Corstorphine South,City of Edinburgh,4,"4,562",87.7,,,,,,,,
S02001682,South Gyle,City of Edinburgh,1,"5,027",19.9,,,,,,,,
S02001683,"Ratho, Ingliston and Gogar",City of Edinburgh,3,"3,543",84.7,,,,,,,,
S02001684,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,2,"8,502",23.5,,,,,,,,
S02001685,Queensferry East,City of Edinburgh,2,"5,008",39.9,,,,,,,,
S02001686,Queensferry West,City of Edinburgh,0,"3,939",0.0,,,,,,,,
S02001687,Barra and South Uist,Na h-Eileanan Siar,0,"3,035",0.0,,,,,,,,
S02001688,Benbecula and North Uist,Na h-Eileanan Siar,0,"2,876",0.0,,,,,,,,
S02001689,Harris,Na h-Eileanan Siar,0,"1,827",0.0,,,,,,,,
S02001690,South Lewis,Na h-Eileanan Siar,0,"2,510",0.0,,,,,,,,
S02001691,Northwest Lewis,Na h-Eileanan Siar,0,"3,737",0.0,,,,,,,,
S02001692,Broadbay,Na h-Eileanan Siar,0,"3,659",0.0,,,,,,,,
S02001693,Stornoway West,Na h-Eileanan Siar,0,"3,122",0.0,,,,,,,,
S02001694,Stornoway East,Na h-Eileanan Siar,0,"2,762",0.0,,,,,,,,
S02001695,Point,Na h-Eileanan Siar,0,"3,192",0.0,,,,,,,,
S02001696,Dunipace,Falkirk,1,"3,201",31.2,,,,,,,,
S02001697,"Fankerton, Stoneywood and Denny Town",Falkirk,0,"4,883",0.0,,,,,,,,
S02001698,Denny - Nethermains,Falkirk,2,"4,074",49.1,,,,,,,,
S02001699,Head of Muir and Dennyloanhead,Falkirk,2,"3,037",65.9,,,,,,,,
S02001700,"Banknock, Haggs and Longcroft",Falkirk,1,"4,089",24.5,,,,,,,,
S02001701,Bonnybridge,Falkirk,5,"4,827",103.6,,,,,,,,
S02001702,High Bonnybridge and Greenhill,Falkirk,2,"3,839",52.1,,,,,,,,
S02001703,Larbert - North Broomage and Inches,Falkirk,2,"7,074",28.3,,,,,,,,
S02001704,Larbert - South Broomage and Village,Falkirk,1,"3,912",25.6,,,,,,,,
S02001705,Stenhousemuir West,Falkirk,0,"3,137",0.0,,,,,,,,
S02001706,Stenhousemuir East,Falkirk,3,"3,432",87.4,,,,,,,,
S02001707,Stenhousemuir - Antonshill,Falkirk,3,"3,240",92.6,,,,,,,,
S02001708,Carron,Falkirk,3,"2,631",114.0,,,,,,,,
S02001709,Carronshore,Falkirk,1,"2,724",36.7,,,,,,,,
S02001710,Carse and Grangemouth Old Town,Falkirk,8,"4,904",163.1,,,,,,,,
S02001711,Falkirk - Bainsford and Langlees,Falkirk,0,"3,756",0.0,,,,,,,,
S02001712,Falkirk - Merchiston and New Carron Village,Falkirk,23,"4,704",488.9,,,,,,,,
S02001713,Falkirk - Grahamston,Falkirk,4,"3,355",119.2,,,,,,,,
S02001714,Falkirk - Middlefield,Falkirk,2,"4,711",42.5,,,,,,,,
S02001715,Falkirk - Town Centre and Callendar Park,Falkirk,5,"3,483",143.6,,,,,,,,
S02001716,Falkirk - Bantaskin,Falkirk,5,"3,580",139.7,,,,,,,,
S02001717,Falkirk - Camelon East,Falkirk,18,"2,980",604.0,,,,,,,,
S02001718,Falkirk - Camelon West,Falkirk,4,"2,745",145.7,,,,,,,,
S02001719,Falkirk - Tamfourhill,Falkirk,3,"2,673",112.2,,,,,,,,
S02001720,Falkirk - Lochgreen and Lionthorn,Falkirk,1,"3,736",26.8,,,,,,,,
S02001721,Hallglen and Glen Village,Falkirk,0,"3,098",0.0,,,,,,,,
S02001722,Shieldhill,Falkirk,1,"2,461",40.6,,,,,,,,
S02001723,Braes Villages,Falkirk,4,"4,774",83.8,,,,,,,,
S02001724,Reddingmuirhead and Overton,Falkirk,1,"5,004",20.0,,,,,,,,
S02001725,Brightons and Wallacestone,Falkirk,3,"4,186",71.7,,,,,,,,
S02001726,Maddiston and Rumford,Falkirk,5,"5,211",96.0,,,,,,,,
S02001727,Polmont,Falkirk,4,"3,975",100.6,,,,,,,,
S02001728,Redding,Falkirk,2,"3,278",61.0,,,,,,,,
S02001729,Laurieston and Westquarter,Falkirk,0,"3,261",0.0,,,,,,,,
S02001730,Grangemouth - Newlands,Falkirk,3,"4,668",64.3,,,,,,,,
S02001731,Grangemouth - Town Centre,Falkirk,3,"3,023",99.2,,,,,,,,
S02001732,Grangemouth - Kersiebank,Falkirk,1,"4,108",24.3,,,,,,,,
S02001733,Grangemouth - Bowhouse,Falkirk,1,"3,653",27.4,,,,,,,,
S02001734,Bo'ness - Douglas,Falkirk,3,"4,211",71.2,,,,,,,,
S02001735,Bo'ness - Newtown,Falkirk,2,"3,098",64.6,,,,,,,,
S02001736,Bo'ness - Kinneil,Falkirk,4,"3,054",131.0,,,,,,,,
S02001737,"Blackness, Bo'ness - Carriden and Grahamsdyke",Falkirk,5,"5,100",98.0,,,,,,,,
S02001738,Kincardine,Fife,9,"3,093",291.0,,,,,,,,
S02001739,Oakley Comrie and Blairhall,Fife,6,"3,983",150.6,,,,,,,,
S02001740,Saline and Gowkhall,Fife,6,"3,471",172.9,,,,,,,,
S02001741,Valleyfield Culross and Torryburn,Fife,1,"3,593",27.8,,,,,,,,
S02001742,Cairneyhill and Crombie,Fife,0,"2,874",0.0,,,,,,,,
S02001743,Crossford Charlestown and Limekilns,Fife,3,"4,325",69.4,,,,,,,,
S02001744,Dunfermline Milesmark and Wellwood,Fife,1,"3,735",26.8,,,,,,,,
S02001745,Dunfermline Baldridgeburn,Fife,2,"3,664",54.6,,,,,,,,
S02001746,Dunfermline Headwell,Fife,2,"4,653",43.0,,,,,,,,
S02001747,Dunfermline Central,Fife,3,"3,110",96.5,,,,,,,,
S02001748,Dunfermline Brucefield,Fife,2,"3,322",60.2,,,,,,,,
S02001749,Dunfermline Garvock Hill,Fife,1,"2,991",33.4,,,,,,,,
S02001750,Dunfermline Bellyeoman and Townhill,Fife,4,"5,253",76.1,,,,,,,,
S02001751,Dunfermline Duloch North and Lynebank,Fife,0,"5,863",0.0,,,,,,,,
S02001752,Dunfermline Touch and Woodmill,Fife,1,"2,878",34.7,,,,,,,,
S02001753,Dunfermline Abbeyview North,Fife,0,"3,857",0.0,,,,,,,,
S02001754,Dunfermline Abbeyview South,Fife,3,"2,859",104.9,,,,,,,,
S02001755,Dunfermline Duloch South,Fife,0,"3,972",0.0,,,,,,,,
S02001756,Dunfermline Masterton,Fife,1,"3,329",30.0,,,,,,,,
S02001757,Dunfermline Pitcorthie East,Fife,1,"3,656",27.4,,,,,,,,
S02001758,Dunfermline Pitcorthie West,Fife,1,"2,511",39.8,,,,,,,,
S02001759,Rosyth North,Fife,2,"2,997",66.7,,,,,,,,
S02001760,Rosyth East,Fife,3,"3,018",99.4,,,,,,,,
S02001761,Rosyth Central,Fife,3,"3,507",85.5,,,,,,,,
S02001762,Rosyth South,Fife,6,"3,921",153.0,,,,,,,,
S02001763,North Queensferry and Inverkeithing West,Fife,0,"3,094",0.0,,,,,,,,
S02001764,Inverkeithing East,Fife,1,"2,842",35.2,,,,,,,,
S02001765,Dalgety Bay West and Hillend,Fife,1,"2,572",38.9,,,,,,,,
S02001766,Dalgety Bay Central,Fife,3,"4,331",69.3,,,,,,,,
S02001767,Dalgety Bay East,Fife,1,"2,539",39.4,,,,,,,,
S02001768,Crossgates and Halbeath,Fife,0,"3,489",0.0,,,,,,,,
S02001769,Hill of Beath and Kingseat,Fife,2,"3,342",59.8,,,,,,,,
S02001770,Cowdenbeath South,Fife,2,"3,122",64.1,,,,,,,,
S02001771,Cowdenbeath North,Fife,12,"5,013",239.4,,,,,,,,
S02001772,Kelty West,Fife,1,"2,689",37.2,,,,,,,,
S02001773,Kelty East,Fife,2,"3,901",51.3,,,,,,,,
S02001774,Lochore and Crosshill,Fife,0,"2,830",0.0,,,,,,,,
S02001775,Ballingry,Fife,2,"2,903",68.9,,,,,,,,
S02001776,Cardenden,Fife,9,"6,319",142.4,,,,,,,,
S02001777,Lochgelly East,Fife,1,"4,373",22.9,,,,,,,,
S02001778,Lochgelly West and Lumphinnans,Fife,1,"3,180",31.4,,,,,,,,
S02001779,Aberdour and Auchtertool,Fife,1,"3,621",27.6,,,,,,,,
S02001780,Burntisland West,Fife,2,"4,134",48.4,,,,,,,,
S02001781,Burntisland East,Fife,0,"2,572",0.0,,,,,,,,
S02001782,Kinghorn,Fife,1,"2,764",36.2,,,,,,,,
S02001783,Kirkcaldy Linktown & Seafield,Fife,3,"4,450",67.4,,,,,,,,
S02001784,Kirkcaldy Central,Fife,14,"3,309",423.1,,,,,,,,
S02001785,Kirkcaldy Bennochy East,Fife,3,"2,929",102.4,,,,,,,,
S02001786,Kirkcaldy Bennochy West,Fife,2,"2,888",69.3,,,,,,,,
S02001787,Kirkcaldy Raith,Fife,1,"2,498",40.0,,,,,,,,
S02001788,Kirkcaldy Newliston and Redcraigs,Fife,2,"2,998",66.7,,,,,,,,
S02001789,Kirkcaldy Templehall West,Fife,1,"3,046",32.8,,,,,,,,
S02001790,Kirkcaldy Templehall East,Fife,0,"4,776",0.0,,,,,,,,
S02001791,Kirkcaldy Dunnikier,Fife,2,"3,181",62.9,,,,,,,,
S02001792,Kirkcaldy Chapel,Fife,0,"5,454",0.0,,,,,,,,
S02001793,Kirkcaldy Hayfield and Smeaton,Fife,7,"3,714",188.5,,,,,,,,
S02001794,Kirkcaldy Pathhead,Fife,4,"3,004",133.2,,,,,,,,
S02001795,Kirkcaldy Gallatown and Sinclairtown,Fife,3,"4,367",68.7,,,,,,,,
S02001796,Dysart,Fife,2,"3,680",54.3,,,,,,,,
S02001797,Wemyss,Fife,0,"3,216",0.0,,,,,,,,
S02001798,Thornton and Kinglassie,Fife,0,"4,203",0.0,,,,,,,,
S02001799,Leslie and Newcastle,Fife,1,"4,178",23.9,,,,,,,,
S02001800,Glenrothes Macedonia and Tanshall,Fife,1,"4,104",24.4,,,,,,,,
S02001801,Glenrothes South Parks,Fife,2,"2,126",94.1,,,,,,,,
S02001802,Glenrothes Caskieberran and Rimbleton,Fife,1,"4,418",22.6,,,,,,,,
S02001803,Glenrothes Auchmuty,Fife,0,"3,313",0.0,,,,,,,,
S02001804,Glenrothes Stenton and Finglassie,Fife,0,"3,433",0.0,,,,,,,,
S02001805,Glenrothes Pitteuchar,Fife,2,"4,951",40.4,,,,,,,,
S02001806,Glenrothes Woodside,Fife,0,"2,734",0.0,,,,,,,,
S02001807,Glenrothes Balgeddie and Town Park,Fife,2,"3,603",55.5,,,,,,,,
S02001808,Glenrothes Collydean,Fife,0,"2,199",0.0,,,,,,,,
S02001809,Glenrothes Cadham and Pitcoudie,Fife,0,"2,050",0.0,,,,,,,,
S02001810,Glenrothes Balfarg Pitcairn and Coul,Fife,4,"2,759",145.0,,,,,,,,
S02001811,Markinch and Star,Fife,1,"4,327",23.1,,,,,,,,
S02001812,Windygates and Coaltown,Fife,0,"3,322",0.0,,,,,,,,
S02001813,"Buckhaven, Denbeath and Muiredge",Fife,1,"4,548",22.0,,,,,,,,
S02001814,Methil Methilhill,Fife,1,"4,439",22.5,,,,,,,,
S02001815,Methil West,Fife,3,"2,412",124.4,,,,,,,,
S02001816,Methil East,Fife,1,"3,464",28.9,,,,,,,,
S02001817,Leven East,Fife,1,"2,966",33.7,,,,,,,,
S02001818,Leven West,Fife,5,"3,708",134.8,,,,,,,,
S02001819,Leven North,Fife,1,"2,583",38.7,,,,,,,,
S02001820,Largo,Fife,0,"2,944",0.0,,,,,,,,
S02001821,Kennoway and Bonnybank,Fife,0,"5,525",0.0,,,,,,,,
S02001822,Kettle and Ladybank,Fife,1,"4,208",23.8,,,,,,,,
S02001823,Falkland and Freuchie,Fife,0,"2,569",0.0,,,,,,,,
S02001824,Auchtermuchty and Gateside,Fife,4,"4,171",95.9,,,,,,,,
S02001825,Newburgh,Fife,2,"2,887",69.3,,,,,,,,
S02001826,Cupar West and Springfield,Fife,4,"4,095",97.7,,,,,,,,
S02001827,Cupar Central,Fife,1,"3,229",31.0,,,,,,,,
S02001828,Cupar East,Fife,1,"3,866",25.9,,,,,,,,
S02001829,Dairsie Ceres and Dunino,Fife,1,"2,874",34.8,,,,,,,,
S02001830,Elie Colinsburgh and Largoward,Fife,4,"2,225",179.8,,,,,,,,
S02001831,St Monans and Pittenweem,Fife,0,"2,649",0.0,,,,,,,,
S02001832,Anstruther,Fife,2,"4,328",46.2,,,,,,,,
S02001833,Crail and Boarhills,Fife,2,"2,431",82.3,,,,,,,,
S02001834,St Andrews South East,Fife,0,"4,157",0.0,,,,,,,,
S02001835,St Andrews Central,Fife,1,"6,392",15.6,,,,,,,,
S02001836,St Andrews South West,Fife,0,"4,357",0.0,,,,,,,,
S02001837,St Andrews North and Strathkinness,Fife,2,"5,386",37.1,,,,,,,,
S02001838,Leuchars and Guardbridge,Fife,0,"4,160",0.0,,,,,,,,
S02001839,Balmullo and Gauldry,Fife,1,"3,693",27.1,,,,,,,,
S02001840,Tayport,Fife,1,"3,758",26.6,,,,,,,,
S02001841,Newport and Wormit,Fife,2,"4,231",47.3,,,,,,,,
S02001842,Darnley East,Glasgow City,15,"5,104",293.9,,,,,,,,
S02001843,Darnley North,Glasgow City,6,"3,542",169.4,,,,,,,,
S02001844,Darnley West,Glasgow City,2,"5,461",36.6,,,,,,,,
S02001845,Nitshill,Glasgow City,7,"6,330",110.6,,,,,,,,
S02001846,Crookston South,Glasgow City,11,"3,380",325.4,,,,,,,,
S02001847,Crookston North,Glasgow City,4,"3,106",128.8,,,,,,,,
S02001848,Pollok South and West,Glasgow City,4,"6,341",63.1,,,,,,,,
S02001849,Pollok North and East,Glasgow City,9,"5,869",153.3,,,,,,,,
S02001850,Cardonald South and East,Glasgow City,10,"3,192",313.3,,,,,,,,
S02001851,Cardonald North,Glasgow City,4,"4,329",92.4,,,,,,,,
S02001852,Cardonald West and Central,Glasgow City,4,"5,162",77.5,,,,,,,,
S02001853,Penilee,Glasgow City,19,"5,279",359.9,,,,,,,,
S02001854,Hillington,Glasgow City,1,"3,377",29.6,,,,,,,,
S02001855,Drumoyne and Shieldhall,Glasgow City,6,"6,241",96.1,,,,,,,,
S02001856,Govan and Linthouse,Glasgow City,5,"6,065",82.4,,,,,,,,
S02001857,Craigton,Glasgow City,1,"3,516",28.4,,,,,,,,
S02001858,Mosspark,Glasgow City,3,"5,126",58.5,,,,,,,,
S02001859,Ibrox,Glasgow City,4,"3,640",109.9,,,,,,,,
S02001860,Ibrox East and Cessnock,Glasgow City,2,"3,322",60.2,,,,,,,,
S02001861,Kinning Park and Festival Park,Glasgow City,14,"4,448",314.7,,,,,,,,
S02001862,Kingston West and Dumbreck,Glasgow City,3,"3,637",82.5,,,,,,,,
S02001863,Pollokshields West,Glasgow City,3,"4,662",64.4,,,,,,,,
S02001864,Pollokshields East,Glasgow City,2,"5,037",39.7,,,,,,,,
S02001865,Govanhill West,Glasgow City,5,"5,793",86.3,,,,,,,,
S02001866,Govanhill East and Aikenhead,Glasgow City,1,"4,519",22.1,,,,,,,,
S02001867,Battlefield,Glasgow City,4,"5,074",78.8,,,,,,,,
S02001868,Strathbungo,Glasgow City,4,"5,917",67.6,,,,,,,,
S02001869,Maxwell Park,Glasgow City,10,"5,866",170.5,,,,,,,,
S02001870,Shawlands West,Glasgow City,2,"3,888",51.4,,,,,,,,
S02001871,Shawlands East,Glasgow City,1,"3,593",27.8,,,,,,,,
S02001872,Langside,Glasgow City,3,"4,573",65.6,,,,,,,,
S02001873,Pollokshaws,Glasgow City,6,"4,462",134.5,,,,,,,,
S02001874,Carnwadric West,Glasgow City,1,"4,228",23.7,,,,,,,,
S02001875,Carnwadric East,Glasgow City,2,"3,127",64.0,,,,,,,,
S02001876,Newlands,Glasgow City,5,"5,278",94.7,,,,,,,,
S02001877,Merrylee and Millbrae,Glasgow City,4,"3,496",114.4,,,,,,,,
S02001878,Muirend and Old Cathcart,Glasgow City,1,"4,622",21.6,,,,,,,,
S02001879,Carmunnock North,Glasgow City,0,"2,871",0.0,,,,,,,,
S02001880,Carmunnock South,Glasgow City,1,"3,737",26.8,,,,,,,,
S02001881,Glenwood South,Glasgow City,3,"4,953",60.6,,,,,,,,
S02001882,Glenwood North,Glasgow City,4,"4,313",92.7,,,,,,,,
S02001883,Castlemilk,Glasgow City,4,"4,980",80.3,,,,,,,,
S02001884,Kingspark South,Glasgow City,2,"4,026",49.7,,,,,,,,
